Opec Oil prices in Rmb,OilRmb
Shenzen Index,SZ399001
Shanghai Index,SG000001
CSI 300 index,HS000300
Oil Index,CI005001.CI
Coal Index,CI005002.CI
Non Ferrous Metals Index,CI005003.CI
Iron Index,CI005005.CI
